myhome_id,myhome_name,myhome_sub,ss_id,ss_name,ss_sub,score,method
"3478","აბანოს ქ.","აბანოთუბანი","821","აბანოს II ჩიხი","აბანოთუბანი",100,SubDistrict
"9989","აბულის ქ.","ავლაბარი","2748","აბულაძის ქ.","ავლაბარი",80,SubDistrict
"6","აბაშელის ჩიხი","ვაკე","2","აბაშელის ქ.","ვაკე",100,SubDistrict
"3351","აბაშიძე ი. ქ.","ვაკე","18","ი.აბაშიძის ქ.","ვაკე",92,SubDistrict
"5962","აბაშიძე მ. ქ.","გლდანი","24","მ.აბაშიძის ქ.","ვაკე",94,Global
"7851","აბულაძე ი. ქ.","საბურთალო","2693","აბულაძის ქ.","საბურთალო",92,SubDistrict
"11640","აბაშიძე დ. ქ.","ავჭალა","713","დ. აბაშიძის ქ.","ჩუღურეთი",94,Global
"9291","აბაკელია თ. ქ.","მთაწმინდა","955","აბაკელიას ქ.","მთაწმინდა",100,SubDistrict
"19","აბესაძის 2 ჩიხი","კრწანისი","1025","აბესაძის ქ.","სოლოლაკი",100,District
"2776","აბელ ენუქიძის ქ.","აეროპორტის დას.","1312","ენუქიძის ქ.","აფრიკის დას",100,District
"1","აბანოს ქ.","აბანოთუბანი","821","აბანოს II ჩიხი","აბანოთუბანი",100,SubDistrict
"8","აბაშის ქ.","კუკია","674","აბაშის ქ.","კუკია",100,SubDistrict
"8737","აბაშიძე-ორბელიანი ნ. ქ.","დიდი დიღომი","1341","აბაშიძე-ორბელიანის ქ.","დიდი დიღომი",100,SubDistrict
"2","აბანოს შესახვევი","აბანოთუბანი","821","აბანოს II ჩიხი","აბანოთუბანი",100,SubDistrict
"4","აბასთუმანის ქ.","დიდუბე","628","აბასთუმნის ქ.","დიდუბე",94,SubDistrict
"3","აბანოს I ჩიხი","აბანოთუბანი","820","აბანოს I ჩიხი","აბანოთუბანი",100,SubDistrict
"25","აბუსერიძე ტბელის ქუჩა; გას; ჩიხები","სამგორი","260","აბუსერიძე ტბელის ქ.","ნავთლუღი",100,District
"14","ირაკლი აბაშიძის ქუჩა #1-53; 2-50","ვაკე","7","ბერძენიშვილის ქ.","ვაკე",100,Geospatial
"21","აბო თბილელის ქ.","აბანოთუბანი","1026","აბო თბილელის ქ.","სოლოლაკი",100,District
"10","დოდო აბაშიძის ქ.","ჩუღურეთი","731","კ.აბაშიძის ქ.","ჩუღურეთი",86,SubDistrict
"11","ვასო აბაშიძის ქ.","მთაწმინდა","973","ვ.აბაშიძის ქ.","მთაწმინდა",86,SubDistrict
"12","ვასო აბაშიძის ჩიხი","მთაწმინდა","973","ვ.აბაშიძის ქ.","მთაწმინდა",86,SubDistrict
"13","ირაკლი აბაშიძის ქუჩა # 55-87; 52-86","ვაკე","10","გრ. მუხაძის ქ.","ვაკე",100,Geospatial
"15","კიტა აბაშიძის ქ.","ჩუღურეთი","731","კ.აბაშიძის ქ.","ჩუღურეთი",86,SubDistrict
"21910","აბუსერიძე ტბელის ქ.","ისანი","260","აბუსერიძე ტბელის ქ.","ნავთლუღი",100,District
"16","ჰეიდარ აბაშიძის ქ.","ვეძისი","146","ჰ.აბაშიძის ქ.","ვეძისი",86,SubDistrict
